,88,111,133,155,156,178,200,201,222,223,245,267,268,289,290,312,1192,1214,1215,1237,1259,1260,1281,1282,1304,1326,1327,1349,1371,1394,1416,1305,1372,246,1238,134,1193,179,89,1350,1283,224,313,1417,291,1216,1328,157,112,1261,1395,269,202,1306,1373,247,1239,135,180,1194,1351,1284,90,314,1440,225,1418,292,1329,1217,158,1396,1262,270,113,203,1307,1374,248,1240,136,181,1441,315,1352,1285,337,1195,226,91,1419,293,1330,1218,1397,159,271,1263,114,204,1308,1375,249,1241,338,1442,316,182
9,-51.3454983256214,-50.374752871464814,-48.618438674528164,-49.598807383515044,-49.03205534663449,-44.57553079850001,-44.85201190649671,-49.74776745691719,-49.159641904687234,-45.231897279983585,-43.293172515406965,-47.78863894839884,-50.02151004176558,,-49.09511019543716,-50.46873545497334,-50.95156140993321,-51.06190555958618,-49.101089330134215,-45.41305968492846,-45.843354376545875,-49.255296482222164,-49.72367811418978,-44.0078562520457,-42.90397586109827,-48.08173963609492,-48.67129994078822,-47.2368913479047,-49.135262609155966,-50.599755701587526,-51.22004415185431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,-51.34629991041009,-50.33289571123538,-48.64699004264438,-49.632700839076406,-48.99603074811746,-44.56248828209229,-44.910209130718826,-49.70408327744015,-49.190048062204895,-45.17215419821718,-43.32543273920864,-47.81228149631477,-49.980072048302404,,-49.073878238769,-50.475644427267,-50.98642784391507,-51.08884182105545,-49.07386205032879,-45.416787968514925,-45.838671046261055,-49.22956339046432,-49.76026484930394,-43.928517644506364,-42.938767049844664,-48.12333773695549,-48.637259963438275,-47.200420709583675,-49.15461151535275,-50.60520876823391,-51.2316074856485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,-51.35094645276146,-50.29362736986454,-48.653816878051586,-49.66996946534694,-48.96113481099624,-44.55953943549755,-44.97806764368715,-49.661418871424175,-49.221860176956554,-45.079676675119906,-43.31831716124867,-47.837258488466915,-49.94090735380308,,-49.04349976440305,-50.48415839185067,-51.02129747350364,-51.11795738843832,-49.04694802049839,-45.42837223993561,-45.84132273975005,-49.20518826724592,-49.79794956856681,-43.84419300305133,-42.93121824815032,-48.16646561704232,-48.60663228272725,-47.16672640104652,-49.16763927879757,-50.61496970995474,-51.246857318851994,-51.62869001856442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,-51.359408840254645,-50.2569860986459,-48.654679889491405,-49.710549150100874,-48.927392794291116,-44.56693055977517,-45.02089421553251,-49.61979391305616,-49.25504813521773,-44.99404072601433,-43.31729309304188,-47.86355716432341,-49.90407048977374,,-49.017808954540094,-50.49424758119308,-51.03719870791818,-51.149217900328935,-49.02075405923996,-45.43521793984125,-45.85110268881331,-49.16290278813904,-49.83670870924334,-43.74374933798925,-42.93745836339819,-48.19601704754869,-48.5794995873333,-47.12784479269229,-49.183478253871954,-50.62908618813129,-51.26577585585787,-51.59994774587319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,-51.37166265007537,-50.22300747225031,-48.65769693652642,-49.75437762324151,-48.894829103297184,-44.58492196649406,-45.05533121249818,-49.57922812139834,-49.28958070366545,-44.91549389611202,-43.314172423166454,-47.89116423775779,-49.86961575513135,,-48.99682333300966,-50.50588129669211,-51.05513767123709,-51.18258980053635,-48.995297928840685,-45.4194199742287,-45.86781041955109,-49.117483907671755,-49.874094843551724,-43.6530647293348,-42.95718448104755,-48.22036545374942,-48.55594516497982,-47.089235559712925,-49.202068290046185,-50.64104260892475,-51.28834403190679,-51.56491236682956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,-51.38768385195761,-50.1917329837718,-48.66758069443002,-49.794612910070235,-48.863471581201125,-44.599146787549714,-45.08577212621159,-49.539742487921615,-49.3254289238871,-44.844297087932794,-43.29465956148246,-47.92006735595942,-49.83052922943944,,-48.98056303522356,-50.519028480380214,-51.0599899971283,-51.21803994569703,-48.97059484572416,-45.40041613064932,-45.89125445467264,-49.07328715625626,-49.907627842793346,-43.572366670468874,-42.969662462640336,-48.246237492821116,-48.536055357478986,-47.06013720690226,-49.22334971986811,-50.63897169346565,-51.314545027904444,-51.530563807620766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,-51.40745153294591,-50.163201061504594,-48.68432177238206,-49.83151625700542,-48.833344476011405,-44.611818309511804,-45.118670463514945,-49.50135857708019,-49.362564946847854,-44.78071938796756,-43.27149891163093,-47.95025396605931,-49.78752214793693,,-48.949541580203785,-50.53366073762366,-51.06785442108395,-51.25553689140172,-48.94666466375702,-45.389280061518996,-45.92124769988032,-49.03033359810677,-49.942212978400676,-43.501891411198066,-42.97585233636333,-48.27360767438259,-48.519917854338615,-47.04056207866294,-49.24726261263885,-50.64120863308055,-51.34138909594681,-51.496911440065524,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,-51.43094406405821,-50.137452200588875,-48.707913741810465,-49.85995636419574,-48.80447737682946,-44.613855344659314,-45.16075614958368,-49.46409785608073,-49.40096010452396,-44.72504132996872,-43.25995162924337,-47.98171333454042,-49.74375180374033,,-48.91691253642074,-50.54974774049206,-51.0787249789513,-51.29504836271196,-48.92352460428195,-45.38609208103978,-45.95761223658978,-48.98864414187266,-49.97782946620694,-43.44189185278716,-42.991329352957806,-48.302449364694134,-48.5076262787327,-47.030529744463905,-49.27374999165292,-50.63617884365808,-51.358618426987626,-51.46397085018796,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,-51.45814195066918,-50.11452806613026,-48.71853553002278,-49.87851604995521,-48.77689700569162,-44.61170343347166,-45.21180201130978,-49.42798313290758,-49.440588326632806,-44.677556422034606,-43.259711116182274,-48.01443417450091,-49.702483907379424,,-48.889064711433505,-50.55536986389555,-51.09259263076612,-51.33654467728209,-48.9011940618449,-45.390934716686985,-46.00017487671614,-48.94824238178937,-50.014454207779636,-43.39262779305163,-43.01471902440988,-48.332735588122446,-48.49116710481926,-47.03006577298024,-49.302756318261586,-50.6151446992928,-51.361268341737336,-51.431754488169105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,-51.489029791751705,-50.09447068668899,-48.73279251612905,-49.900234822941286,-48.75063340882662,-44.62089125669354,-45.27159121907062,-49.39303874479126,-49.481424181596225,-44.63792538457996,-43.26571894808105,-48.04840364325357,-49.66377096200408,,-48.86601439321201,-50.560237928922746,-51.10945024561964,-51.37999591973633,-48.87969311298402,-45.387525041228145,-46.048768942080684,-48.909151932211365,-50.05206830462045,-43.35437349210957,-43.00857173135759,-48.364442846472116,-48.45967231112003,-47.02968892462063,-49.33422720378789,-50.58955798113217,-51.367553565594136,-51.400272661890945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
