,157,179,201,202,223,224,246,247,268,269,291,313,1125,1147,1148,1170,1192,1193,1214,1215,1237,1259,1260,1282,1238,314,336,1171,1126,292,180,225,1216,1305,1283,270,1149,1194,1261,203,248,337,1239,315,158,1172,293,1127,226,1217,181,1306,1284,271,1150,1195,1262,204,338,249,316,1240,1173,294,1307,1218,227,1128,182,1285,272,1151,1263,1196,339,205,250,317,1241,1174,295,1308
9,-51.352170318586865,-48.941049331929925,-49.16246266029674,-49.551152489996745,-51.43397284087534,-44.15021875824041,-43.303230134463966,-50.35936664073241,-48.5795639419496,-46.538208491120166,-46.06015095873113,-49.569503292129696,-51.00075230451844,-51.223349257287325,-48.35400277223287,-44.510058960952975,-46.044923774131505,-48.25735577037614,-50.72931858396917,-43.60519966630615,-45.65489735498785,-50.146326840265736,-49.71959447366523,-49.965868668162145,-51.46965430297616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,-51.338851860981414,-48.95094984704426,-49.185768507129,-49.51743078094984,-51.46157367922185,-44.13541589700689,-43.37192964936748,-50.31618266447042,-48.62786206627153,-46.5062349178022,-46.09683087286493,-49.589089533244945,-51.01477778922443,-51.2562500546483,-48.34026309508375,-44.511315496449825,-46.05787801866774,-48.21485756700184,-50.745802903209814,-43.567637152146226,-45.68083873451057,-50.16082760234056,-49.69346964264422,-49.948673431540406,-51.43703162184924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,-51.32672879724349,-48.96266714246003,-49.20217699798059,-49.48436580608374,-51.490004512912144,-44.09510321542318,-43.440075237244415,-50.27385981021489,-48.666324879628384,-46.47976259285548,-46.121851052610495,-49.60932107368512,-51.03174959580305,-51.290216302792956,-48.32753115072809,-44.522380036035536,-46.07583694142558,-48.17420329325315,-50.763222462117376,-43.54445165330041,-45.693064031424456,-50.17598887478692,-49.66960154676123,-49.93536771584906,-51.40547112245663,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,-51.31582629533749,-48.979256818492665,-49.22260627914133,-49.451963514745444,-51.519246509243146,-44.06103845384849,-43.504044700935154,-50.23241337763706,-48.7023384451244,-46.45894717545594,-46.1533610511745,-49.63018067257722,-51.051659923902065,-51.3135339118611,-48.31582764581637,-44.542842235650966,-46.098656646248116,-48.135433462682684,-50.781559547800164,-43.53460994443766,-45.70899207014918,-50.19180253985621,-49.63817227677794,-49.92592506918366,-51.37499181381134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,-51.30230903237356,-49.00074722989135,-49.2469917356836,-49.42023029258591,-51.54928373429556,-44.03339542532339,-43.53568131025895,-50.191861000179415,-48.739815726942545,-46.443942037353374,-46.16245266304102,-49.64629962985682,-51.061188025015895,-51.33862257721194,-48.30517316853602,-44.57422635767095,-46.126203723941835,-48.098593606378884,-50.80079766579219,-43.51441214028207,-45.728908635837875,-50.20826266368806,-49.59712323794848,-49.920319694795914,-51.34561500799464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,-51.28937837707789,-49.027173632408825,-49.27405045569576,-49.38917321704636,-51.58010000139805,-44.0123579983846,-43.576896738854686,-50.152219576497146,-48.77872805287896,-46.43490643628808,-46.16204266925375,-49.66178279631176,-51.06263534325926,-51.365454244927705,-48.29268129067776,-44.599262542754765,-46.15834359608705,-48.055823671330174,-50.820919062701236,-43.45406321676404,-45.75269000385694,-50.22536229085682,-49.542684935138354,-49.91609240986797,-51.31736014979843,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,-51.277652034937546,-49.04975818692983,-49.29095891040633,-49.3587980962623,-51.61167888920998,-43.99811743318829,-43.629884154768526,-50.11350736906383,-48.81904917566927,-46.43201005401377,-46.15525767405087,-49.67782033999052,-51.0612702051493,-51.394000228930096,-48.27227352129006,-44.60597862748382,-46.19495504185426,-48.00467623015702,-50.84036034347548,-43.408116806720216,-45.780217992765,-50.24309585907364,-49.49123191663405,-49.904818752550256,-51.29024941859132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,-51.26715624807446,-49.06145769605332,-49.31171125498785,-49.32911310390637,-51.644004440308265,-43.99087323729474,-43.69432927432044,-50.07574473854363,-48.8607544346986,-46.43542747221503,-46.13308278715833,-49.694396553436576,-51.062871256984025,-51.42423233900082,-48.25283098264084,-44.623460103349714,-46.23591623801852,-47.95542501176278,-50.85898896133535,-43.36706558576502,-45.81137868151615,-50.261455873686174,-49.444070410073905,-49.89733129650994,-51.26430457087697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,-51.25791608002469,-49.057646873911,-49.33623632344833,-49.30012526385121,-51.67706243090319,-43.99083473265078,-43.76483715697273,-50.038950221532474,-48.90381900855758,-46.44533800615904,-46.117379578717944,-49.71149622986366,-51.06742106483431,-51.45612487174219,-48.23437776952436,-44.64479581400269,-46.28110804840904,-47.90811656293562,-50.8784723755075,-43.28625413690454,-45.842729892555106,-50.280437960373504,-49.40124461674043,-49.89359692242871,-51.23087986551234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,-51.24995807428674,-49.05868649881543,-49.36446826349223,-49.27184275832063,,-43.987276733819485,-43.822490016111104,-50.003142171262745,-48.948217047194056,-46.41023371945337,-46.08971706952854,-49.72910633936224,-51.07490464911211,-51.483347597039455,-48.21693721289404,-44.63141331558737,-46.33042290317917,-47.85435825716662,-50.89879596063475,-43.19231918233666,-45.86094267387111,-50.30003496360663,-49.362802154197766,-49.893584355210635,-51.196148355704324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
