,time,696,718,763,785,830,875,897,942,964,808,741,920,674,853,786,987,719,898,965,831,764,697,943,876,809
9,9,82.57928902047357,75.19787723228744,97.83546809212945,0.0,96.35929402363234,80.0334903778372,87.23478518781104,80.68299623274588,0.0,67.5714639257838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,10,82.87197344254604,74.75894911345232,98.00279218864291,0.0,96.13246004276147,80.51108436353975,86.79651425198763,80.99610482368621,0.0,67.99261013045077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,11,83.15848002930203,74.32098490169192,98.15572092811588,0.0,95.89300084614676,80.98877725628982,86.35438761246309,81.30417814780213,0.0,68.41658141157245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,12,83.43857181230759,73.8841209842406,98.2940289393259,0.0,95.64121675625422,81.4663498613128,85.90870715986594,81.6069900096352,0.0,68.8433526618869,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,13,83.71200331195126,73.44847606097159,98.41754650648464,0.0,95.37742472716096,81.94360547953164,85.45978481031958,81.90431249473555,0.0,69.27286400075822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,14,83.97855264109685,73.01415802603569,98.52607234993415,0.0,95.10193684820726,82.42032530178484,85.00790042174545,82.19591620798855,0.0,69.70507939329332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,15,84.23797419159067,72.58128836240695,98.61948411699588,0.0,94.81509064053304,82.89628309080676,84.55335172368734,82.48156279316689,0.0,70.13994353415728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,16,84.49004688045466,72.1499597559003,98.69763978053233,0.0,94.51720717978483,83.37122934667272,84.09641271461308,82.76102049981074,0.0,70.57740336108843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,17,84.73454256586787,71.72028437092753,98.76043311387943,0.0,94.20863143763442,83.84493831442137,83.63736624793177,83.03406472505345,0.0,71.01739110996228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,18,84.97122613575873,71.29234056156653,98.80777194986582,0.0,93.88972097468626,84.31715322295132,83.17645592115704,83.3004706665912,0.0,71.45985251498485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,19,85.19988862050924,70.8662260666434,98.83958952367742,0.0,93.56083500918862,84.78760127782623,82.71394997084334,83.55999774008188,0.0,71.90471252863625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,20,85.42030673655601,70.44202289317715,98.85583359507662,0.0,93.22231403207695,85.2560262689318,82.25010106013838,83.81242930707312,0.0,72.35189792594241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,21,85.63227612828065,70.0198036692446,98.85649990473829,0.0,92.87452893880614,85.72213986619163,81.7851315002683,84.05753356092546,0.0,72.8013315363538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,22,85.83557863275433,69.59965408971918,98.84156561894982,0.0,92.51785016271577,86.18566252534765,81.31927963685767,84.29510374763579,0.0,73.25292603818542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,23,86.03001587253793,69.18163394283664,98.81106706408178,0.0,92.15263743989921,86.64629034738664,80.8527762822056,84.52491045162044,0.0,73.70659581899335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,24,86.21540153892532,68.76581076414678,98.76504413282328,0.0,91.77925878444837,87.10372876215604,80.38582271783736,84.74674206558628,0.0,74.1622384927806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,25,86.3915364567866,68.35224334392845,98.70356235737756,0.0,91.39808007946648,87.55765870820613,79.91862830572508,84.960389149477,0.0,74.61975932922942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,26,86.55825114561813,67.94099263025524,98.62671268648855,0.0,91.00945515845211,88.0077710861869,79.45139533804492,85.16565300183764,0.0,75.07904629135106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
